"name","latitude","longitude","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","precip","preciptype","snow","snowdepth","cloudcover","conditions","description","city","country","id","location","temp_diff_max","temp_diff_min","temp_diff"
"London, England, United Kingdom",51.506,-0.127,"2003-12-25",10.8,9,9.8,10.8,5.9,7.7,0,"",0,0,88.4,"Partially cloudy","Partly cloudy throughout the day.","London","United Kingdom",4,"London, United Kingdom",1,0.800000000000001,0.199999999999999
"Нұр-Сұлтан, Қазақстан",51.128,71.428,"2003-12-25",-14.6,-20.9,-18.2,-14.6,-26.9,-19.9,0,"",0,0,94.3,"Overcast","Cloudy skies throughout the day.","Astana","Kazakhstan",29,"Astana, Kazakhstan",3.6,2.7,0.9
"Calgary, AB, Canada",51.045,-114.063,"2003-12-25",3.6,-5.3,-0.8,2.2,-9.4,-3.9,0,"",0,0,37.8,"Partially cloudy","Partly cloudy throughout the day.","Calgary","Canada",52,"Calgary, Canada",4.4,4.5,0.0999999999999996
"Brussels, Belgium",50.844,4.356,"2003-12-25",8.8,5.9,7.7,5.7,2.1,4.3,0.018,"rain",0,0,93,"Rain, Overcast","Cloudy skies throughout the day with late afternoon rain.","Brussels","Belgium",16,"Brussels, Belgium",1.1,1.8,0.699999999999999
"Київ, Україна",50.451,30.524,"2003-12-25",-3.9,-12,-8.6,-7.5,-14.5,-11,0,"",0,2,0.9,"Clear","Clear conditions throughout the day.","Kyiv","Ukraine",9,"Kyiv, Ukraine",4.7,3.4,1.3
"Praha, Hlavní město Praha, Česko",50.079,14.433,"2003-12-25",-0.7,-11.4,-6.1,-5.3,-16.5,-10.4,0,"",0,3.3,73.6,"Partially cloudy","Partly cloudy throughout the day.","Prague","Czechia",23,"Prague, Czechia",5.4,5.3,0.0999999999999988
"Winnipeg, MB, Canada",49.9,-97.141,"2003-12-25",0,-6.1,-3.7,-1.2,-9.1,-5.3,0,"",0,0,27.8,"Partially cloudy","Partly cloudy throughout the day.","Winnipeg","Canada",55,"Winnipeg, Canada",3.7,2.4,1.3
"Luxembourg, Luxembourg",49.61,6.13,"2003-12-25",2.1,-1.8,0.4,2.1,-6.6,-2.3,0,"",0,0.8,96.7,"Overcast","Cloudy skies throughout the day.","Luxembourg","Luxembourg",48,"Luxembourg, Luxembourg",1.7,2.2,0.5
"Vancouver, BC, Canada",49.26,-123.113,"2003-12-25",7.7,4.6,6,6.9,0.6,3.7,0.52,"rain",0,0,77.7,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","Vancouver","Canada",56,"Vancouver, Canada",1.7,1.4,0.3
"Paris, Île-de-France, France",48.857,2.341,"2003-12-25",8.5,7.1,7.9,8,5.2,6.2,0.007,"rain",0,0,96.8,"Rain, Overcast","Cloudy skies throughout the day with morning rain.","Paris","France",5,"Paris, France",0.6,0.800000000000001,0.200000000000001
"Wien, Österreich",48.203,16.368,"2003-12-25",-1,-8.4,-4.4,-1,-12.2,-6.3,0,"",0,0,24.7,"Partially cloudy","Partly cloudy throughout the day.","Vienna","Austria",13,"Vienna, Austria",3.4,4,0.6
"Bratislava, Bratislavský kraj, Slovenská Republika",48.149,17.107,"2003-12-25",-1,-12,-7.1,-1,-13,-8.5,0,"",0,0,17.7,"Clear","Clear conditions throughout the day.","Bratislava","Slovakia",39,"Bratislava, Slovakia",6.1,4.9,1.2
"Ulaanbaatar, Mongolia",47.922,106.918,"2003-12-25",-14.3,-26.9,-21.7,-14.3,-33.8,-22.9,0,"",0,12.8,0,"Clear","Clear conditions throughout the day.","Ulaanbaatar","Mongolia",20,"Ulaanbaatar, Mongolia",7.4,5.2,2.2
"Seattle, WA, United States",47.604,-122.329,"2003-12-25",6.7,2.8,5.3,3.1,-1.1,1.3,0.072,"rain",,,91.6,"Rain, Overcast","Cloudy skies throughout the day with early morning rain.","Seattle (WA)","USA",63,"Seattle (WA), USA",1.4,2.5,1.1
"Budapest, Magyarország",47.5,19.055,"2003-12-25",1.2,-9,-4.6,0.9,-11.4,-6.4,0,"",0,0,9.6,"Clear","Clear conditions throughout the day.","Budapest","Hungary",8,"Budapest, Hungary",5.8,4.4,1.4
"Chișinău, Moldova",47.025,28.832,"2003-12-25",-3.9,-6.9,-5.4,-9,-12.8,-10.8,0,"",0,15.6,100,"Overcast","Cloudy skies throughout the day.","Chisinau","Moldova",37,"Chisinau, Moldova",1.5,1.5,4.44089209850063e-16
"Bern, BE, Schweiz",46.948,7.44,"2003-12-25",1.2,-7.8,-4.5,1.2,-7.8,-4.5,0,"",0,0,10.1,"Clear","Clear conditions throughout the day.","Bern","Switzerland",46,"Bern, Switzerland",5.7,3.3,2.4
"Ljubljana, Slovenija",46.051,14.503,"2003-12-25",-1.5,-14.5,-8.5,-1.5,-18.7,-8.9,0,"",0,3.4,5.3,"Clear","Clear conditions throughout the day.","Ljubljana","Slovenia",43,"Ljubljana, Slovenia",7,6,1
"Zagreb, Hrvatska",45.807,15.968,"2003-12-25",0.6,-8,-3.9,0.6,-10.8,-5.1,0,"",0,0,22.4,"Partially cloudy","Partly cloudy throughout the day.","Zagreb","Croatia",35,"Zagreb, Croatia",4.5,4.1,0.4
"Montréal, QC, Canada",45.512,-73.555,"2003-12-25",4,-0.9,2.1,2,-6.4,-0.2,1,"rain",5.2,25.8,99.5,"Rain, Overcast","Cloudy skies throughout the day with early morning snow or rain.","Montréal","Canada",51,"Montréal, Canada",1.9,3,1.1
"Portland, OR, United States",45.512,-122.676,"2003-12-25",8.3,2.8,5.8,6.1,0.2,4.2,5.604,"rain",0,0,96.7,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Portland (OR)","USA",69,"Portland (OR), USA",2.5,3,0.499999999999999
"Ottawa, ON, Canada",45.422,-75.691,"2003-12-25",3.1,-0.9,1.3,1.1,-6.8,-2.2,1.58,"rain,snow",0,0.2,98.4,"Snow, Rain, Overcast","Cloudy skies throughout the day with rain or snow clearing later.","Ottawa","Canada",54,"Ottawa, Canada",1.8,2.2,0.4
"Београд, Централна Србија, Србија",44.813,20.463,"2003-12-25",-1.4,-3.9,-2.5,-1.6,-7.2,-5.1,0.001,"snow",0,12.3,89.5,"Snow, Partially cloudy","Partly cloudy throughout the day with morning snow.","Belgrade","Serbia",21,"Belgrade, Serbia",1.1,1.4,0.3
"București, România",44.434,26.103,"2003-12-25",-2.9,-4.7,-3.7,-3.4,-12,-7.2,0,"",0.4,23.9,99.2,"Overcast","Cloudy skies throughout the day.","Bucharest","Romania",14,"Bucharest, Romania",0.8,1,0.2
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",43.859,18.436,"2003-12-25",-2.8,-6.7,-4.8,-2.8,-6.7,-4.8,0,"",0,32.2,96.2,"Overcast","Cloudy skies throughout the day.","Sarajevo","Bosnia and Herzegovina",42,"Sarajevo, Bosnia and Herzegovina",2,1.9,0.0999999999999996
"Toronto, ON, Canada",43.649,-79.385,"2003-12-25",3,-1.1,1.5,-1.2,-6.5,-3.5,0.498,"rain,snow",0,0.5,92.9,"Snow, Rain, Overcast","Cloudy skies throughout the day with a chance of rain or snow throughout the day.","Toronto","Canada",50,"Toronto, Canada",1.5,2.6,1.1
"Bishkek, Kyrgyzstan",42.884,74.603,"2003-12-25",-0.9,-6.9,-3.8,-2.6,-7.5,-4.9,0,"",0,10.1,89.8,"Partially cloudy","Partly cloudy throughout the day.","Bishkek","Kyrgyzstan",27,"Bishkek, Kyrgyzstan",2.9,3.1,0.200000000000001
"София, България",42.697,23.324,"2003-12-25",-0.9,-6.4,-4.4,-0.9,-11.3,-7.6,1.973,"snow",0.4,17.5,95.3,"Snow, Overcast","Cloudy skies throughout the day with a chance of snow throughout the day.","Sofia","Bulgaria",18,"Sofia, Bulgaria",3.5,2,1.5
"Prishtinë, Kosovë",42.672,21.162,"2003-12-25",-2.9,-5,-4.3,-6.9,-10.8,-9.8,0.891,"snow",,25.8,99.8,"Snow, Overcast","Cloudy skies throughout the day with a chance of snow throughout the day.","Pristina","Kosovo",44,"Pristina, Kosovo",1.4,0.7,0.7
"Podgorica, Crna Gora",42.435,19.264,"2003-12-25",8,3.1,5.3,6.1,-3.8,1.1,0,"",0,0,59.7,"Partially cloudy","Partly cloudy throughout the day.","Podgorica","Montenegro",45,"Podgorica, Montenegro",2.7,2.2,0.5
"Boston, MA, United States",42.359,-71.057,"2003-12-25",11.9,2.6,8.4,11.9,-2.9,6.3,1.604,"rain",0,0,90.6,"Rain, Overcast","Cloudy skies throughout the day with rain in the morning and afternoon.","Boston (MA)","USA",68,"Boston (MA), USA",3.5,5.8,2.3
"Detroit, MI, United States",42.332,-83.048,"2003-12-25",0,-1.9,-1.1,-4,-8,-6.1,2.759,"rain,snow",3,2.6,100,"Snow, Rain, Overcast","Cloudy skies throughout the day with a chance of rain or snow throughout the day.","Detroit (MI)","USA",71,"Detroit (MI), USA",1.1,0.8,0.3
"Скопје, Северна Македонија",41.995,21.43,"2003-12-25",0.1,-3,-1.2,0.1,-6.9,-4.1,2.726,"rain,snow",0,4.4,97.6,"Snow, Rain, Overcast","Cloudy skies throughout the day with rain or snow clearing later.","Skopje","Macedonia",38,"Skopje, Macedonia",1.3,1.8,0.5
"Chicago, IL, United States",41.884,-87.632,"2003-12-25",2.2,-7.9,-3.4,-2,-13.2,-7.7,0,"",0,1.6,6.4,"Clear","Clear conditions throughout the day.","Chicago (IL)","USA",58,"Chicago (IL), USA",5.6,4.5,1.1
"თბილისი, Georgia",41.709,44.796,"2003-12-25",9.1,-3.9,1.2,8.6,-10.6,-1.6,0,"",0,0,30.4,"Partially cloudy","Partly cloudy throughout the day.","Tbilisi","Georgia",26,"Tbilisi, Georgia",7.9,5.1,2.8
"Toshkent, O'zbekiston",41.326,69.241,"2003-12-25",5.3,-3.4,0.3,5.3,-5.9,-0.6,0,"",0,0,12.2,"Clear","Clear conditions throughout the day.","Tashkent","Uzbekistan",11,"Tashkent, Uzbekistan",5,3.7,1.3
"Tiranë, Shqipëria",41.322,19.825,"2003-12-25",10.7,-2.1,3.2,10.7,-8.1,-0.6,0,"",0,6.9,78.4,"Partially cloudy","Partly cloudy throughout the day.","Tirana","Albania",41,"Tirana, Albania",7.5,5.3,2.2
"New York, NY, United States",40.715,-74.007,"2003-12-25",7.7,1.2,5,5.2,-4.5,1.1,1.622,"rain",0,0,81.8,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.","New York (NY)","USA",57,"New York (NY), USA",2.7,3.8,1.1
"Երևան, Հայաստան",40.179,44.513,"2003-12-25",-3.6,-5.8,-5,-3.6,-8.9,-5.4,0,"",,1,45.6,"Partially cloudy","Partly cloudy throughout the day.","Yerevan","Armenia",28,"Yerevan, Armenia",1.4,0.8,0.6
"Columbus, OH, United States",39.962,-83.003,"2003-12-25",-2,-5.6,-3.5,-6.9,-11.3,-9.3,0,"",0,0,83.8,"Partially cloudy","Partly cloudy throughout the day.","Columbus (OH)","USA",60,"Columbus (OH), USA",1.5,2.1,0.6
"Philadelphia, PA, United States",39.952,-75.162,"2003-12-25",4.7,-0.5,2.2,1.1,-4.7,-2,0,"",0,0,36.5,"Partially cloudy","Becoming cloudy in the afternoon.","Philadelphia (PA)","USA",59,"Philadelphia (PA), USA",2.5,2.7,0.2
"Ankara, Türkiye",39.921,32.854,"2003-12-25",6.5,-0.4,2.8,5,-1.7,2,0,"",,,91.7,"Overcast","Cloudy skies throughout the day.","Ankara","Turkey",6,"Ankara, Turkey",3.7,3.2,0.5
"中国北京",39.907,116.388,"2003-12-25",3.1,-4.9,-0.9,-0.4,-13.6,-6.9,0,"",,,0,"Clear","Clear conditions throughout the day.","Beijing","China",2,"Beijing, China",4,4,0
"Indianapolis, IN, United States",39.767,-86.15,"2003-12-25",2.2,-7.5,-3.3,-2.8,-12.3,-8,0,"",0,0,33.5,"Partially cloudy","Partly cloudy throughout the day.","Indianapolis (IN)","USA",62,"Indianapolis (IN), USA",5.5,4.2,1.3
"Denver, CO, United States",39.74,-104.992,"2003-12-25",7.4,-4.6,-0.2,5.5,-8.6,-3.7,0,"",0,0,70.6,"Partially cloudy","Partly cloudy throughout the day.","Denver (CO)","USA",64,"Denver (CO), USA",7.6,4.4,3.2
"Pyongyang, North Korea",39.012,125.787,"2003-12-25",0.1,-3.8,-1.3,0.1,-10,-5.4,0,"",,,37.1,"Partially cloudy","Clearing in the afternoon.","Pyongyang","North Korea",10,"Pyongyang, North Korea",1.4,2.5,1.1
"Washington, DC, United States",38.89,-77.032,"2003-12-25",5.6,-0.9,2.2,3.1,-4.7,-1.3,0,"",0,0,36.9,"Partially cloudy","Becoming cloudy in the afternoon.","Washington (DC)","USA",67,"Washington (DC), USA",3.4,3.1,0.299999999999999
"Dushanbe, Tajikistan",38.568,68.772,"2003-12-25",7.1,-3.7,1.4,7.1,-5.8,0.2,0,"",2,1,70.8,"Partially cloudy","Partly cloudy throughout the day.","Dushanbe","Tajikistan",33,"Dushanbe, Tajikistan",5.7,5.1,0.6
"Louisville, KY, United States",38.255,-85.767,"2003-12-25",4.4,-2.5,-0.1,1,-7.5,-3.9,0,"",0,0,58.1,"Partially cloudy","Partly cloudy throughout the day.","Louisville (KY)","USA",72,"Louisville (KY), USA",4.5,2.4,2.1
"Ashgabat, Turkmenistan",37.951,58.39,"2003-12-25",8.7,0.9,4.4,8.1,-1.1,3.8,,"",0,0,80.8,"Partially cloudy","Partly cloudy throughout the day.","Ashgabat","Turkmenistan",34,"Ashgabat, Turkmenistan",4.3,3.5,0.799999999999998
"South Korea South Korea Seoul",37.559,127,"2003-12-25",4.9,-2.8,1.5,2.6,-7.4,-1.7,0,"",0,0,39,"Partially cloudy","Clearing in the afternoon.","Seoul","South Korea",1,"Seoul, South Korea",3.4,4.3,0.9
"Nashville, TN, United States",36.168,-86.778,"2003-12-25",4.3,-2.8,0,4.3,-6.5,-2.2,0,"",0,0,35.4,"Partially cloudy","Partly cloudy throughout the day.","Nashville (TN)","USA",66,"Nashville (TN), USA",4.3,2.8,1.5
"Oklahoma City, OK, United States",35.472,-97.521,"2003-12-25",15,2,7.8,15,-2.8,5.2,0,"",0,0,25.8,"Partially cloudy","Partly cloudy throughout the day.","Oklahoma City (OK)","USA",65,"Oklahoma City (OK), USA",7.2,5.8,1.4
"Charlotte, NC, United States",35.223,-80.838,"2003-12-25",6.9,-3.9,0.9,5.8,-6.9,-0.9,0,"",0,0,11.5,"Clear","Clear conditions throughout the day.","Charlotte (NC)","USA",61,"Charlotte (NC), USA",6,4.8,1.2
"Memphis, TN, United States",35.15,-90.049,"2003-12-25",6.1,-2.6,0.5,6.1,-3.6,-0.5,0,"",0,0,38.3,"Partially cloudy","Partly cloudy throughout the day.","Memphis (TN)","USA",70,"Memphis (TN), USA",5.6,3.1,2.5
"Kathmandu, Bagmati, Nepal",27.693,85.322,"2003-12-25",20.1,2.1,11.3,20.1,2.1,11.3,0,"",,,28.2,"Partially cloudy","Partly cloudy throughout the day.","Kathmandu","Nepal",31,"Kathmandu, Nepal",8.8,9.2,0.4
"Thimphu, Bhutan",27.468,89.662,"2003-12-25",2.7,-13.3,-5.4,-1,-20.5,-10,0,"",,,11.3,"Clear","Clear conditions throughout the day.","Thimphu","Bhutan",49,"Thimphu, Bhutan",8.1,7.9,0.200000000000001
"Reykjavíkurborg, Ísland",64.146,-21.94,"2004-12-25",-1.9,-3.9,-2.5,-2.9,-11.4,-7.7,0,"",,,67.4,"Partially cloudy","Partly cloudy throughout the day.","Reykjavík","Iceland",47,"Reykjavík, Iceland",0.6,1.4,0.8
"Anchorage, AK, United States",61.218,-149.858,"2004-12-25",-11.9,-18.9,-15.3,-11.9,-24.7,-17.8,0,"",4.4,4.6,32.5,"Partially cloudy","Partly cloudy throughout the day.","Anchorage (AK)","USA",73,"Anchorage (AK), USA",3.4,3.6,0.199999999999998
"Helsinki, Etelä-Suomi, Suomi",60.171,24.933,"2004-12-25",0.9,-11.9,-3.2,-3.6,-15.4,-7.1,0,"",,2,73.8,"Partially cloudy","Partly cloudy throughout the day.","Helsinki","Finland",24,"Helsinki, Finland",4.1,8.7,4.6
"Oslo, Norge",59.912,10.75,"2004-12-25",-1.9,-10.9,-3.3,-4.9,-10.9,-9.3,6.599,"snow",9.8,4.4,71.7,"Snow, Partially cloudy","Partly cloudy throughout the day with snow.","Oslo","Norway",30,"Oslo, Norway",1.4,7.6,6.2
"Tallinn, Eesti",59.436,24.753,"2004-12-25",-0.9,-9.9,-5.4,-6.7,-13.8,-9.9,0.033,"snow",2,7.8,85.9,"Snow, Partially cloudy","Partly cloudy throughout the day with late afternoon snow.","Tallinn","Estonia",40,"Tallinn, Estonia",4.5,4.5,0
"Stockholm, Stockholms län, Sverige",59.333,18.067,"2004-12-25",2.3,-4.9,-1,0.3,-10,-4.5,4.276,"rain,snow",2.8,1.7,88.7,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with rain or snow.","Stockholm","Sweden",17,"Stockholm, Sweden",3.3,3.9,0.6
"Rīga, Latvija",56.946,24.115,"2004-12-25",2.9,-3.9,-0.7,0.1,-8.1,-3.9,0,"",2.6,3,74.2,"Partially cloudy","Partly cloudy throughout the day.","Riga","Latvia",32,"Riga, Latvia",3.6,3.2,0.399999999999999
"Москва, Центральный федеральный округ, Россия",55.757,37.615,"2004-12-25",0.2,-5.5,-2.9,-0.3,-10.7,-6.6,,"",0.6,10.2,99.3,"Overcast","Cloudy skies throughout the day.","Moscow","Russia",3,"Moscow, Russia",3.1,2.6,0.5
"København, Hovedstaden, Danmark",55.676,12.568,"2004-12-25",5.1,1.5,3.8,0.8,-3.1,-1.1,6.631,"rain",,,61.4,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","Copenhagen","Denmark",22,"Copenhagen, Denmark",1.3,2.3,1
"Vilnius, Vilniaus Apskritis, Lietuva",54.691,25.27,"2004-12-25",3.1,-0.1,1.4,-0.1,-4.8,-3,0.3,"rain",0,0.5,97.5,"Rain, Overcast","Cloudy skies throughout the day with late afternoon rain.","Vilnius","Lithuania",36,"Vilnius, Lithuania",1.7,1.5,0.2
"Мінск, Беларусь",53.904,27.566,"2004-12-25",3.1,0.1,1.3,1.1,-4.8,-2.3,,"",0,5,86.7,"Partially cloudy","Partly cloudy throughout the day.","Minsk","Belarus",12,"Minsk, Belarus",1.8,1.2,0.6
"Edmonton, AB, Canada",53.546,-113.49,"2004-12-25",2.8,-15.9,-5.8,-0.9,-25.6,-12.2,0.026,"snow",1.3,10.4,60.7,"Snow, Partially cloudy","Partly cloudy throughout the day with snow.","Edmonton","Canada",53,"Edmonton, Canada",8.6,10.1,1.5
"Dublin, Ireland",53.348,-6.248,"2004-12-25",1.8,0.1,0.6,-3.3,-6.7,-5.2,0.553,"rain,snow",0,0,74.5,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with rain or snow.","Dublin","Ireland",25,"Dublin, Ireland",1.2,0.5,0.7
"Berlin, Deutschland",52.516,13.377,"2004-12-25",7.9,0.9,4.4,4.2,-2.5,0.8,,"",0,0,75.8,"Partially cloudy","Partly cloudy throughout the day.","Berlin","Germany",7,"Berlin, Germany",3.5,3.5,4.44089209850063e-16
"Amsterdam, Noord-Holland, Nederland",52.37,4.908,"2004-12-25",7.5,2,5,3.7,-0.9,1.2,6.683,"rain",0,0,64.9,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","Amsterdam","Netherlands",19,"Amsterdam, Netherlands",2.5,3,0.5
"Warszawa, Woj. Mazowieckie, Polska",52.236,21.01,"2004-12-25",6.2,0.8,3.9,3.6,-3.2,0.8,0,"",0,0,69.2,"Partially cloudy","Partly cloudy throughout the day.","Warsaw","Poland",15,"Warsaw, Poland",2.3,3.1,0.799999999999999
"London, England, United Kingdom",51.506,-0.127,"2004-12-25",4.3,-1.8,2,1.2,-3.5,-0.9,0.316,"rain",0,0,56.4,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","London","United Kingdom",4,"London, United Kingdom",2.3,3.8,1.5
"Нұр-Сұлтан, Қазақстан",51.128,71.428,"2004-12-25",-16.9,-31.9,-24.1,-22.9,-41.9,-30.6,0,"",13,8.1,73.3,"Partially cloudy","Partly cloudy throughout the day.","Astana","Kazakhstan",29,"Astana, Kazakhstan",7.2,7.8,0.599999999999994
"Calgary, AB, Canada",51.045,-114.063,"2004-12-25",3.7,-11.3,-0.5,2,-18.5,-3.8,1.66,"snow",2.7,0.9,92.4,"Snow, Overcast","Cloudy skies throughout the day with late afternoon snow.","Calgary","Canada",52,"Calgary, Canada",4.2,10.8,6.6
"Brussels, Belgium",50.844,4.356,"2004-12-25",8.4,2.2,4.8,4.8,-0.6,1.5,19.195,"rain",0,0,60.3,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","Brussels","Belgium",16,"Brussels, Belgium",3.6,2.6,1
"Київ, Україна",50.451,30.524,"2004-12-25",5.2,-0.3,2.7,3.1,-4,-0.8,1,"rain",0,0,61.1,"Rain, Partially cloudy","Partly cloudy throughout the day with morning rain.","Kyiv","Ukraine",9,"Kyiv, Ukraine",2.5,3,0.5
"Praha, Hlavní město Praha, Česko",50.079,14.433,"2004-12-25",10.2,2.1,6.3,10.2,0.5,4.3,0.01,"rain",0,0,80,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Prague","Czechia",23,"Prague, Czechia",3.9,4.2,0.3
"Winnipeg, MB, Canada",49.9,-97.141,"2004-12-25",-19,-25,-21.3,-23.6,-30.8,-26.9,0,"",0,6.1,37.5,"Partially cloudy","Partly cloudy throughout the day.","Winnipeg","Canada",55,"Winnipeg, Canada",2.3,3.7,1.4
"Luxembourg, Luxembourg",49.61,6.13,"2004-12-25",7.6,0.9,3.9,3.3,-1.8,0.8,1.83,"rain",0,0,88,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","Luxembourg","Luxembourg",48,"Luxembourg, Luxembourg",3.7,3,0.7
"Vancouver, BC, Canada",49.26,-123.113,"2004-12-25",6.9,4.9,6,4.8,1.7,2.9,44.368,"rain",0,0,100,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Vancouver","Canada",56,"Vancouver, Canada",0.9,1.1,0.199999999999999
"Paris, Île-de-France, France",48.857,2.341,"2004-12-25",9.7,1.8,5.2,6.1,0.2,2.6,3.291,"rain",0,0,61.7,"Rain, Partially cloudy","Partly cloudy throughout the day with rain clearing later.","Paris","France",5,"Paris, France",4.5,3.4,1.1
"Wien, Österreich",48.203,16.368,"2004-12-25",8.3,0.8,5,8.3,-0.7,4.1,0,"",0,0,76.7,"Partially cloudy","Partly cloudy throughout the day.","Vienna","Austria",13,"Vienna, Austria",3.3,4.2,0.9
"Bratislava, Bratislavský kraj, Slovenská Republika",48.149,17.107,"2004-12-25",10.9,-0.3,4,10.9,-4,1.1,0,"",0,0,72.2,"Partially cloudy","Partly cloudy throughout the day.","Bratislava","Slovakia",39,"Bratislava, Slovakia",6.9,4.3,2.6
"Ulaanbaatar, Mongolia",47.922,106.918,"2004-12-25",-20.8,-30.9,-25.1,-20.8,-36.2,-26.2,0,"",0,5,50,"Partially cloudy","Becoming cloudy in the afternoon.","Ulaanbaatar","Mongolia",20,"Ulaanbaatar, Mongolia",4.3,5.8,1.5
"Seattle, WA, United States",47.604,-122.329,"2004-12-25",8.4,4.3,6.6,7.3,0.8,3.7,12.415,"rain",,,97.5,"Rain, Overcast","Cloudy skies throughout the day with rain.","Seattle (WA)","USA",63,"Seattle (WA), USA",1.8,2.3,0.499999999999999
"Budapest, Magyarország",47.5,19.055,"2004-12-25",6.5,-1.9,2.7,3.9,-4.4,0.1,0,"",0,0,86.7,"Partially cloudy","Partly cloudy throughout the day.","Budapest","Hungary",8,"Budapest, Hungary",3.8,4.6,0.8
"Chișinău, Moldova",47.025,28.832,"2004-12-25",9.1,-1.8,3.9,7.6,-4.6,1.5,0,"",0,0,16.7,"Clear","Clear conditions throughout the day.","Chisinau","Moldova",37,"Chisinau, Moldova",5.2,5.7,0.500000000000001
"Bern, BE, Schweiz",46.948,7.44,"2004-12-25",8.8,0.1,2.8,7.7,-1.5,1.4,5.839,"rain,snow",0.3,0.2,87.5,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with late afternoon rain or snow.","Bern","Switzerland",46,"Bern, Switzerland",6,2.7,3.3
"Ljubljana, Slovenija",46.051,14.503,"2004-12-25",6.5,0.6,3.5,6.5,-2.5,2.6,1.144,"rain",0,0,94.6,"Rain, Overcast","Cloudy skies throughout the day with rain.","Ljubljana","Slovenia",43,"Ljubljana, Slovenia",3,2.9,0.1
"Zagreb, Hrvatska",45.807,15.968,"2004-12-25",9.4,2,6.3,9.4,0.5,5.5,0,"",0,0,88.4,"Partially cloudy","Partly cloudy throughout the day.","Zagreb","Croatia",35,"Zagreb, Croatia",3.1,4.3,1.2
"Montréal, QC, Canada",45.512,-73.555,"2004-12-25",-11,-15,-13,-12,-20.4,-15.4,0,"",0.1,12.7,44.3,"Partially cloudy","Partly cloudy throughout the day.","Montréal","Canada",51,"Montréal, Canada",2,2,0
"Portland, OR, United States",45.512,-122.676,"2004-12-25",8.3,2.1,5.5,7.2,-1.4,2.7,8.371,"rain",0,0,100,"Rain, Overcast","Cloudy skies throughout the day with rain.","Portland (OR)","USA",69,"Portland (OR), USA",2.8,3.4,0.599999999999999
"Ottawa, ON, Canada",45.422,-75.691,"2004-12-25",-12.7,-22.9,-17.1,-15.4,-29.8,-20.5,0,"",0.2,21.3,41.1,"Partially cloudy","Becoming cloudy in the afternoon.","Ottawa","Canada",54,"Ottawa, Canada",4.4,5.8,1.4
"Београд, Централна Србија, Србија",44.813,20.463,"2004-12-25",12.1,-0.9,5.2,12.1,-3.7,3.5,0,"",0,0,20.1,"Partially cloudy","Partly cloudy throughout the day.","Belgrade","Serbia",21,"Belgrade, Serbia",6.9,6.1,0.799999999999999
"București, România",44.434,26.103,"2004-12-25",10.1,-2.7,1.5,10.1,-5.3,0.1,0,"",0,0,31.5,"Partially cloudy","Partly cloudy throughout the day.","Bucharest","Romania",14,"Bucharest, Romania",8.6,4.2,4.4
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",43.859,18.436,"2004-12-25",10.1,-5.9,2.8,10.1,-5.9,1.2,0,"",0,0.4,47.5,"Partially cloudy","Becoming cloudy in the afternoon.","Sarajevo","Bosnia and Herzegovina",42,"Sarajevo, Bosnia and Herzegovina",7.3,8.7,1.4
"Toronto, ON, Canada",43.649,-79.385,"2004-12-25",-6.9,-21.7,-17.8,-9.2,-34.2,-25.1,0.006,"snow",0.6,14.8,33.5,"Snow, Partially cloudy","Becoming cloudy in the afternoon with late afternoon snow.","Toronto","Canada",50,"Toronto, Canada",10.9,3.9,7
"Bishkek, Kyrgyzstan",42.884,74.603,"2004-12-25",2.3,-12.9,-6.7,2.3,-14,-7.3,0,"",0,6.7,27.6,"Partially cloudy","Partly cloudy throughout the day.","Bishkek","Kyrgyzstan",27,"Bishkek, Kyrgyzstan",9,6.2,2.8
"София, България",42.697,23.324,"2004-12-25",1.3,-8.9,-4.4,0.1,-9.4,-5.8,0,"",0,9,39.2,"Partially cloudy","Partly cloudy throughout the day.","Sofia","Bulgaria",18,"Sofia, Bulgaria",5.7,4.5,1.2
"Prishtinë, Kosovë",42.672,21.162,"2004-12-25",4.1,-6.9,-2.6,1.1,-6.9,-4.1,0,"",,5.7,56.3,"Partially cloudy","Partly cloudy throughout the day.","Pristina","Kosovo",44,"Pristina, Kosovo",6.7,4.3,2.4
